,attribute
888,DeferredRevenueAndCreditsCurrent
889,DeferredRevenueAndCreditsNoncurrent
890,DeferredRevenueCurrent
891,DeferredRevenueNoncurrent
892,DeferredRevenueRevenueRecognized
893,DeferredRevenueRevenueRecognized1
894,DeferredSalesCommission
895,DeferredStateAndLocalIncomeTaxExpenseBenefit
896,DeferredTaxAndOtherLiabilitiesNoncurrent
897,DeferredTaxAssetInterestCarryforward
898,DeferredTaxAssetIntraEntityTransferAssetOtherThanInventory
899,DeferredTaxAssetsCapitalLossCarryforwards
900,DeferredTaxAssetsDeferredIncome
901,DeferredTaxAssetsDerivativeInstruments
902,DeferredTaxAssetsEquityMethodInvestments
903,DeferredTaxAssetsGoodwillAndIntangibleAssets
904,DeferredTaxAssetsGross
905,DeferredTaxAssetsGrossCurrent
906,DeferredTaxAssetsGrossNoncurrent
907,DeferredTaxAssetsHedgingTransactions
908,DeferredTaxAssetsInProcessResearchAndDevelopment
909,DeferredTaxAssetsInventory
910,DeferredTaxAssetsInvestmentInSubsidiaries
911,DeferredTaxAssetsInvestments
912,DeferredTaxAssetsLiabilitiesNet
913,DeferredTaxAssetsLiabilitiesNetCurrent
914,DeferredTaxAssetsLiabilitiesNetNoncurrent
915,DeferredTaxAssetsNet
916,DeferredTaxAssetsNetCurrent
917,DeferredTaxAssetsNetNoncurrent
918,DeferredTaxAssetsOperatingLossCarryforwards
919,DeferredTaxAssetsOperatingLossCarryforwardsDomestic
920,DeferredTaxAssetsOperatingLossCarryforwardsForeign
921,DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration
922,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal
923,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration
924,DeferredTaxAssetsOther
925,DeferredTaxAssetsOtherComprehensiveLoss
926,DeferredTaxAssetsOtherTaxCarryforwards
927,DeferredTaxAssetsPropertyPlantAndEquipment
928,DeferredTaxAssetsRegulatoryAssetsAndLiabilities
929,DeferredTaxAssetsStateTaxes
930,DeferredTaxAssetsTaxCreditCarryforwards
931,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax
932,DeferredTaxAssetsTaxCreditCarryforwardsForeign
933,DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness
934,DeferredTaxAssetsTaxCreditCarryforwardsOther
935,DeferredTaxAssetsTaxCreditCarryforwardsResearch
936,DeferredTaxAssetsTaxDeferredExpense
937,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits
938,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits
939,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation
940,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsOther
941,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions
942,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits
943,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost
944,DeferredTaxAssetsTaxDeferredExpenseOther
945,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals
946,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities
947,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts
948,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations
949,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsContingencies
950,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent
951,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses
952,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLegalSettlements
953,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves
954,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther
955,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsPolicyholderLiabilities
956,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses
957,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves
958,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsRestructuringCharges
959,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances
960,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsSelfInsurance
961,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsUnearnedPremiumsReserve
962,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves
963,DeferredTaxAssetsUnrealizedCurrencyLosses
964,DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross
965,DeferredTaxAssetsUnrealizedLossesOnTradingSecurities
966,DeferredTaxAssetsValuationAllowance
967,DeferredTaxAssetsValuationAllowanceCurrent
968,DeferredTaxAssetsValuationAllowanceNoncurrent
969,DeferredTaxExpenseFromStockOptionsExercised
970,DeferredTaxLiabilities
971,DeferredTaxLiabilitiesCurrent
972,DeferredTaxLiabilitiesDeferredExpense
973,DeferredTaxLiabilitiesDeferredExpenseCapitalizedInterest
974,DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts
975,DeferredTaxLiabilitiesDeferredExpenseCapitalizedResearchAndDevelopmentCosts
976,DeferredTaxLiabilitiesDeferredExpenseCapitalizedSoftware
977,DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts
978,DeferredTaxLiabilitiesDeferredExpenseOtherCapitalizedCosts
979,DeferredTaxLiabilitiesDeferredExpenseReservesAndAccruals
980,DeferredTaxLiabilitiesDerivatives
981,DeferredTaxLiabilitiesGoodwillAndIntangibleAssets
982,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill
983,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets
984,DeferredTaxLiabilitiesGrossCurrent
985,DeferredTaxLiabilitiesGrossNoncurrent
986,DeferredTaxLiabilitiesInterestsInFinancialAssetsContinuedToBeHeld
987,DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates
988,DeferredTaxLiabilitiesInvestments
989,DeferredTaxLiabilitiesLeasingArrangements
990,DeferredTaxLiabilitiesMortgageServicingRights
991,DeferredTaxLiabilitiesNoncurrent
992,DeferredTaxLiabilitiesOther
993,DeferredTaxLiabilitiesOtherComprehensiveIncome
994,DeferredTaxLiabilitiesOtherFiniteLivedAssets
995,DeferredTaxLiabilitiesPrepaidExpenses
996,DeferredTaxLiabilitiesPrepaidPensionCosts
997,DeferredTaxLiabilitiesPropertyPlantAndEquipment
998,DeferredTaxLiabilitiesRegulatoryAssets
999,DeferredTaxLiabilitiesTaxDeferredIncome
1000,DeferredTaxLiabilitiesUndistributedForeignEarnings
1001,DeferredTaxLiabilitiesUnrealizedCurrencyTransactionGains
1002,DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities
1003,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiability
1004,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfDomesticSubsidiaries
1005,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries
1006,DeferredTaxLiabilityNotRecognizedCumulativeAmountOfTemporaryDifference
1007,DefinedBenefitPensionPlanCurrentAndNoncurrentLiabilities
1008,DefinedBenefitPensionPlanLiabilitiesNoncurrent
1009,DefinedBenefitPlanAccumulatedBenefitObligation
1010,DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax
1011,DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax
1012,DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax
1013,DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetTransitionAssetsObligationsBeforeTax
1014,DefinedBenefitPlanActualReturnOnPlanAssets
1015,DefinedBenefitPlanActualReturnOnPlanAssetsStillHeld
1016,DefinedBenefitPlanActuarialGainLoss
1017,DefinedBenefitPlanActuarialGainLossImmediateRecognitionAsComponentInNetPeriodicBenefitCostCredit
1018,DefinedBenefitPlanActuarialNetGainsLosses
1019,DefinedBenefitPlanAmortizationOfGainsLosses
1020,DefinedBenefitPlanAmortizationOfNetGainsLosses
1021,DefinedBenefitPlanAmortizationOfNetPriorServiceCostCredit
1022,DefinedBenefitPlanAmortizationOfNetTransitionAssetObligation
1023,DefinedBenefitPlanAmortizationOfPriorServiceCostCredit
1024,DefinedBenefitPlanAmortizationOfTransitionObligationsAssets
1025,DefinedBenefitPlanAmountToBeAmortizedFromAccumulatedOtherComprehensiveIncomeLossNextFiscalYear
1026,DefinedBenefitPlanAmountsRecognizedInBalanceSheet
1027,DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax
1028,DefinedBenefitPlanAmountsThatWillBeAmortizedFromAccumulatedOtherComprehensiveIncomeLossInNextFiscalYear
1029,DefinedBenefitPlanAssetsForPlanBenefitsCurrentAndNoncurrent
1030,DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent
1031,DefinedBenefitPlanAssetsTransferredToFromPlan
1032,DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate
1033,DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease
1034,DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate
1035,DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets
1036,DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease
1037,DefinedBenefitPlanBenefitObligation
1038,DefinedBenefitPlanBenefitObligationBenefitsPaid
1039,DefinedBenefitPlanBenefitObligationContributionsByPlanParticipant
1040,DefinedBenefitPlanBenefitObligationIncreaseDecreaseForRemeasurementDueToSettlement
1041,DefinedBenefitPlanBenefitObligationPaymentForSettlement
1042,DefinedBenefitPlanBenefitObligationPeriodIncreaseDecrease
1043,DefinedBenefitPlanBenefitObligationPrescriptionDrugSubsidyReceipt
1044,DefinedBenefitPlanBenefitsPaid
1045,DefinedBenefitPlanBusinessCombinationsAndAcquisitionsPlanAssets
1046,DefinedBenefitPlanChangeInFairValueOfPlanAssetsLevel3ReconciliationPeriodIncreaseDecrease
1047,DefinedBenefitPlanContributionsByEmployer
1048,DefinedBenefitPlanContributionsByPlanParticipants
1049,DefinedBenefitPlanCurtailments
1050,DefinedBenefitPlanDebtSecurities
1051,DefinedBenefitPlanDivestituresBenefitObligation
1052,DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation
1053,DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation1
1054,DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnServiceAndInterestCostComponents
1055,DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnServiceAndInterestCostComponents1
1056,DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnAccumulatedPostretirementBenefitObligation
1057,DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnServiceAndInterestCostComponents
1058,DefinedBenefitPlanEffectOfPlanAmendmentOnNetPeriodicBenefitCost
1059,DefinedBenefitPlanEquitySecurities
1060,DefinedBenefitPlanEstimatedFutureEmployerContributionsInCurrentFiscalYear
1061,DefinedBenefitPlanEstimatedFutureEmployerContributionsInNextFiscalYear
1062,DefinedBenefitPlanExpectedAmortizationNextFiscalYear
1063,DefinedBenefitPlanExpectedAmortizationOfGainLossNextFiscalYear
1064,DefinedBenefitPlanExpectedAmortizationOfPriorServiceCostCreditNextFiscalYear
1065,DefinedBenefitPlanExpectedAmortizationOfTransitionAssetObligationNextFiscalYear
1066,DefinedBenefitPlanExpectedContributionsInCurrentFiscalYear
1067,DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter
1068,DefinedBenefitPlanExpectedFutureBenefitPaymentsInFiveFiscalYearsThereafter
1069,DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFive
1070,DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFour
1071,DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearOne
1072,DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearThree
1073,DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearTwo
1074,DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths
1075,DefinedBenefitPlanExpectedFutureBenefitPaymentsRemainderOfFiscalYear
1076,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive
1077,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour
1078,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree
1079,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo
1080,DefinedBenefitPlanExpectedFutureEmployerContributionsCurrentFiscalYear
1081,DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear
1082,DefinedBenefitPlanExpectedFutureEmployerContributionsRemainderOfFiscalYear
1083,DefinedBenefitPlanExpectedReturnOnPlanAssets
1084,DefinedBenefitPlanFairValueOfPlanAssets
1085,DefinedBenefitPlanFairValueOfPlanAssetsPeriodIncreaseDecrease
1086,DefinedBenefitPlanForeignCurrencyExchangeRateChangesBenefitObligation
1087,DefinedBenefitPlanForeignCurrencyExchangeRateChangesPlanAssets
1088,DefinedBenefitPlanFundedStatusOfPlan
1089,DefinedBenefitPlanFutureAmortizationOfGainLoss
1090,DefinedBenefitPlanFutureAmortizationOfPriorServiceCostCredit
1091,DefinedBenefitPlanGrossPrescriptionDrugSubsidyReceiptsReceived
1092,DefinedBenefitPlanHealthCareCostTrendRateAssumedForNextFiscalYear
1093,DefinedBenefitPlanHealthCareCostTrendRateAssumedNextFiscalYear
1094,DefinedBenefitPlanInterestCost
1095,DefinedBenefitPlanNetPeriodicBenefitCost
1096,DefinedBenefitPlanOtherPlanAssets
1097,DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsAccumulatedBenefitObligation
1098,DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsPlanAssets
1099,DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsProjectedBenefitObligation
1100,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation
1101,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets
1102,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation
1103,DefinedBenefitPlanPlanAmendments
1104,DefinedBenefitPlanPlanAssetsBenefitsPaid
1105,DefinedBenefitPlanPlanAssetsContributionsByPlanParticipant
1106,DefinedBenefitPlanPlanAssetsForeignCurrencyTranslationGainLoss
1107,DefinedBenefitPlanPlanAssetsLevel3ReconciliationDecreaseForSettlement
1108,DefinedBenefitPlanPlanAssetsTargetAllocationPercentage
1109,DefinedBenefitPlanPlansWithBenefitObligationsInExcessOfPlanAssetsAggregateBenefitObligation
1110,DefinedBenefitPlanPlansWithBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets
1111,DefinedBenefitPlanPurchasesSalesAndSettlements
1112,DefinedBenefitPlanRecognizedNetGainLossDueToCurtailments
1113,DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1
1114,DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments
1115,DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1
1116,DefinedBenefitPlanServiceCost
1117,DefinedBenefitPlanSettlementsBenefitObligation
1118,DefinedBenefitPlanSettlementsPlanAssets
1119,DefinedBenefitPlanSpecialTerminationBenefits
1120,DefinedBenefitPlanTargetAllocationPercentageOfAssetsDebtSecurities
1121,DefinedBenefitPlanTargetAllocationPercentageOfAssetsDebtSecuritiesRangeMaximum
1122,DefinedBenefitPlanTargetAllocationPercentageOfAssetsDebtSecuritiesRangeMinimum
1123,DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecurities
1124,DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecuritiesRangeMaximum
1125,DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecuritiesRangeMinimum
1126,DefinedBenefitPlanTargetAllocationPercentageOfAssetsOther
1127,DefinedBenefitPlanTargetAllocationPercentageOfAssetsOtherRangeMaximum
1128,DefinedBenefitPlanTargetAllocationPercentageOfAssetsOtherRangeMinimum
1129,DefinedBenefitPlanTargetAllocationPercentageOfAssetsRealEstate
1130,DefinedBenefitPlanTargetAllocationPercentageOfAssetsRealEstateRangeMaximum
1131,DefinedBenefitPlanTargetAllocationPercentageOfAssetsRealEstateRangeMinimum
1132,DefinedBenefitPlanTargetPlanAssetAllocations
1133,DefinedBenefitPlanTransfersBetweenMeasurementLevels
1134,DefinedBenefitPlanUltimateHealthCareCostTrendRate
1135,DefinedBenefitPlanUltimateHealthCareCostTrendRate1
1136,DefinedBenefitPlanWeightedAverageAssetAllocations
1137,DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear
1138,DefinedBenefitPlansEstimatedFutureEmployerContributionsInNextFiscalYear
1139,DefinedContributionPlanCostRecognized
1140,DefinedContributionPlanEmployerDiscretionaryContributionAmount
1141,DefinedContributionPlanEmployerMatchingContributionPercent
1142,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch
1143,DefinedContributionPlanEmployersMatchingContributionAnnualVestingPercentage
1144,DefinedContributionPlanMaximumAnnualContributionPerEmployeeAmount
1145,DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent
1146,DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount
1147,DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent
1148,DelinquentAmountAtEndOfPeriodOnLoansManagedAndSecuritized
1149,DemandDepositAccounts
1150,DepositAssets
1151,DepositLiabilitiesAccruedInterest
1152,DepositLiabilitiesReclassifiedAsLoansReceivable
1153,DepositLiabilitiesReclassifiedAsLoansReceivable1
1154,DepositLiabilityCurrent
1155,Deposits
1156,DepositsAssets
1157,DepositsAssetsCurrent
1158,DepositsAssetsNoncurrent
1159,DepositsDomestic
1160,DepositsForeign
1161,DepositsReceivedForSecuritiesLoanedAtCarryingValue
1162,Depreciation
1163,DepreciationAmortizationAndAccretionNet
1164,DepreciationAndAmortization
1165,DepreciationDepletionAndAmortization
1166,DepreciationExcludingLessorAssetUnderOperatingLease
1167,DepreciationNonproduction
1168,DepreciationPremisesAndEquipment
1169,DerivativeAmountOfHedgedItem
1170,DerivativeAssetAfterOffsetSubjectToMasterNettingArrangement
1171,DerivativeAssetCollateralObligationToReturnCashOffset
1172,DerivativeAssetDesignatedAsHedgingInstrumentFairValue
1173,DerivativeAssetFairValueGrossAssetIncludingNotSubjectToMasterNettingArrangement
1174,DerivativeAssetFairValueGrossLiability
1175,DerivativeAssetFairValueGrossLiabilityAndObligationToReturnCashOffset
1176,DerivativeAssetFairValueNet
1177,DerivativeAssetFairValueOfCollateral
1178,DerivativeAssetFairValueOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection
1179,DerivativeAssetNotDesignatedAsHedgingInstrumentFairValue
1180,DerivativeAssetNotOffsetPolicyElectionDeduction
1181,DerivativeAssetNotSubjectToMasterNettingArrangement
1182,DerivativeAssetNotSubjectToMasterNettingArrangementDeduction
1183,DerivativeAssetNotionalAmount
1184,DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowed
1185,DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedAmountOffsetAgainstCollateral
1186,DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedCollateralObligationToReturnCash
1187,DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedCollateralObligationToReturnSecurities
1188,DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedGross
1189,DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedLiability
1190,DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedNotOffsetPolicyElectionDeduction
1191,DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection
1192,DerivativeAssets
1193,DerivativeAssetsCurrent
1194,DerivativeAssetsNoncurrent
1195,DerivativeBasisSpreadOnVariableRate
1196,DerivativeCashReceivedOnHedge
1197,DerivativeCollateralObligationToReturnCash
1198,DerivativeCollateralObligationToReturnSecurities
1199,DerivativeCollateralRightToReclaimCash
1200,DerivativeCollateralRightToReclaimSecurities
1201,DerivativeCostOfHedge
1202,DerivativeCreditRiskValuationAdjustmentDerivativeAssets
1203,DerivativeCreditRiskValuationAdjustmentDerivativeLiabilities
1204,DerivativeExcludedComponentGainLossRecognizedInEarnings
1205,DerivativeFairValueOfDerivativeAsset
1206,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral
1207,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral
1208,DerivativeFairValueOfDerivativeLiability
1209,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral
1210,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral
1211,DerivativeFairValueOfDerivativeNet
1212,DerivativeFinancialInstrumentsAssetsFairValueDisclosure
1213,DerivativeFinancialInstrumentsLiabilitiesFairValueDisclosure
1214,DerivativeFixedInterestRate
1215,DerivativeGainLossOnDerivativeNet
1216,DerivativeHigherRangeOfBasisSpreadOnVariableRate
1217,DerivativeInstrumentsAndHedges
1218,DerivativeInstrumentsGainLossReclassificationFromAccumulatedOCIToIncomeEstimatedNetAmountToBeTransferred
1219,DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet
1220,DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet
1221,DerivativeInstrumentsGainLossRecognizedInIncomeNet
1222,DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet
1223,DerivativeInstrumentsGainRecognizedInIncome
1224,DerivativeInstrumentsInHedgesAssetsAtFairValue
1225,DerivativeInstrumentsInHedgesAtFairValueNet
1226,DerivativeInstrumentsInHedgesLiabilitiesAtFairValue
1227,DerivativeInstrumentsLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion
1228,DerivativeInstrumentsLossRecognizedInIncome
1229,DerivativeInstrumentsLossRecognizedInOtherComprehensiveIncomeEffectivePortion
1230,DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue
1231,DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet
1232,DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsLiabilityAtFairValue
1233,DerivativeLiabilities
1234,DerivativeLiabilitiesCurrent
1235,DerivativeLiabilitiesNoncurrent
1236,DerivativeLiabilityAfterOffsetSubjectToMasterNettingArrangement
1237,DerivativeLiabilityCollateralRightToReclaimCashOffset
1238,DerivativeLiabilityDesignatedAsHedgingInstrumentFairValue
1239,DerivativeLiabilityFairValueGrossAsset
1240,DerivativeLiabilityFairValueGrossAssetAndRightToReclaimCashOffset
1241,DerivativeLiabilityFairValueGrossLiabilityIncludingNotSubjectToMasterNettingArrangement
1242,DerivativeLiabilityFairValueNet
1243,DerivativeLiabilityFairValueNet1
1244,DerivativeLiabilityFairValueOfCollateral
1245,DerivativeLiabilityFairValueOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection
1246,DerivativeLiabilityNotDesignatedAsHedgingInstrumentFairValue
1247,DerivativeLiabilityNotOffsetPolicyElectionDeduction
1248,DerivativeLiabilityNotSubjectToMasterNettingArrangement
1249,DerivativeLiabilityNotSubjectToMasterNettingArrangementDeduction
1250,DerivativeLiabilityNotionalAmount
1251,DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoaned
1252,DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedAmountOffsetAgainstCollateral
1253,DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedAsset
1254,DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedCollateralRightToReclaimCash
1255,DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedCollateralRightToReclaimSecurities
1256,DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedGross
1257,DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedNotOffsetPolicyElectionDeduction
1258,DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection
1259,DerivativeLowerRangeOfBasisSpreadOnVariableRate
1260,DerivativeNetHedgeIneffectivenessGainLoss
1261,DerivativeNetLiabilityPositionAggregateFairValue
1262,DerivativeNotionalAmount
1263,DerivativePriceRiskOptionStrikePrice
1264,DilutedEarningsPerShareProForma
1265,DilutiveSecuritiesEffectOnBasicEarningsPerShareOther
1266,DirectCostsOfLeasedAndRentedPropertyOrEquipment
1267,DirectFinancingLeaseInterestIncome
1268,DirectFinancingLeaseLeaseIncome
1269,DirectFinancingLeaseVariableLeaseIncome
1270,DirectPremiumsEarnedPropertyAndCasualty
1271,DirectPremiumsWrittenPropertyAndCasualty
1272,DiscontinuedOperationAmountOfAdjustmentToPriorPeriodGainLossOnDisposalNetOfTax
1273,DiscontinuedOperationAmountsOfMaterialContingentLiabilitiesRemaining
1274,DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax
1275,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax
1276,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax
1277,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax
1278,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax
1279,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare
1280,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare
1281,DiscontinuedOperationTaxEffectOfDiscontinuedOperation
1282,DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod
1283,DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation
1284,DiscontinuedOperationTaxExpenseBenefitFromProvisionForGainLossOnDisposal
1285,DisposalGroupDeferredGainOnDisposal
1286,DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet
1287,DisposalGroupIncludingDiscontinuedOperationAccountsPayable
1288,DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilities
1289,DisposalGroupIncludingDiscontinuedOperationAccountsPayableCurrent
1290,DisposalGroupIncludingDiscontinuedOperationAccruedIncomeTaxPayable
1291,DisposalGroupIncludingDiscontinuedOperationAccruedIncomeTaxesPayable
1292,DisposalGroupIncludingDiscontinuedOperationAccruedLiabilities
1293,DisposalGroupIncludingDiscontinuedOperationAccruedLiabilitiesCurrent
1294,DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent
